# Binding energy analysis (xtb/gxtb) with population filtering
# Input XYZ : crest_conformers_GXTB.xyz
# Engine    : gxtb
# n_conf    : 48
# n_sub     : 60
# q_sub     : 0
# q_prot    : 3
# q_tot     : 3
# Temperature (K): 298.15
# Etot_unit from comments: Eh
# Population threshold (fraction): 1.00e-06
# Energies in Eh and kJ/mol; populations from Etot(comment)
# Conformers with pop < threshold are skipped for Eprot/Esub/Ebind.
#
 idx  Etot_raw        Etot_unit  Etot_rel(kJ/mol)  Eprot(Eh)          Esub(Eh)           Ebind(kJ/mol)   Pop
------------------------------------------------------------------------------------------------------------
   1  -11409.3772825100       Eh         0.000  -10253.4523205200  -1155.8665691500      -153.310   9.9998e-01
   2  -11409.3667738200       Eh        27.591  -10253.4417714600  -1155.8665532700      -153.458   1.4667e-05
   3  -11409.3648301600       Eh        32.694  -10253.4360205900  -1155.8664786200      -163.650   1.8720e-06
   4  -11409.3570003400       Eh        53.251      NA             NA              NA        4.6865e-10
   5  -11409.3531505900       Eh        63.358      NA             NA              NA        7.9449e-12
   6  -11409.3517398200       Eh        67.062      NA             NA              NA        1.7831e-12
   7  -11409.3480278700       Eh        76.808      NA             NA              NA        3.4979e-14
   8  -11409.3430971900       Eh        89.754      NA             NA              NA        1.8873e-16
   9  -11409.3420323100       Eh        92.549      NA             NA              NA        6.1100e-17
  10  -11409.3373166300       Eh       104.930      NA             NA              NA        4.1398e-19
  11  -11409.3333831200       Eh       115.258      NA             NA              NA        6.4224e-21
  12  -11409.3332768600       Eh       115.537      NA             NA              NA        5.7388e-21
  13  -11409.3328877800       Eh       116.558      NA             NA              NA        3.8006e-21
  14  -11409.3308770900       Eh       121.837      NA             NA              NA        4.5186e-22
  15  -11409.3307791200       Eh       122.095      NA             NA              NA        4.0732e-22
  16  -11409.3297038100       Eh       124.918      NA             NA              NA        1.3042e-22
  17  -11409.3277590700       Eh       130.024      NA             NA              NA        1.6627e-23
  18  -11409.3270300300       Eh       131.938      NA             NA              NA        7.6821e-24
  19  -11409.3263165400       Eh       133.811      NA             NA              NA        3.6082e-24
  20  -11409.3259612300       Eh       134.744      NA             NA              NA        2.4767e-24
  21  -11409.3237363000       Eh       140.586      NA             NA              NA        2.3468e-25
  22  -11409.3205906600       Eh       148.844      NA             NA              NA        8.3864e-27
  23  -11409.3201927600       Eh       149.889      NA             NA              NA        5.5024e-27
  24  -11409.3199993400       Eh       150.397      NA             NA              NA        4.4832e-27
  25  -11409.3196033600       Eh       151.437      NA             NA              NA        2.9475e-27
  26  -11409.3195997000       Eh       151.446      NA             NA              NA        2.9361e-27
  27  -11409.3182825000       Eh       154.905      NA             NA              NA        7.2761e-28
  28  -11409.3166230100       Eh       159.261      NA             NA              NA        1.2548e-28
  29  -11409.3157857900       Eh       161.460      NA             NA              NA        5.1700e-29
  30  -11409.3156187100       Eh       161.898      NA             NA              NA        4.3315e-29
  31  -11409.3144894100       Eh       164.863      NA             NA              NA        1.3098e-29
  32  -11409.3125959700       Eh       169.834      NA             NA              NA        1.7631e-30
  33  -11409.3123370600       Eh       170.514      NA             NA              NA        1.3403e-30
  34  -11409.3118655600       Eh       171.752      NA             NA              NA        8.1342e-31
  35  -11409.3096019900       Eh       177.695      NA             NA              NA        7.3985e-32
  36  -11409.3065988500       Eh       185.580      NA             NA              NA        3.0747e-33
  37  -11409.3023860300       Eh       196.641      NA             NA              NA        3.5484e-35
  38  -11409.3015617700       Eh       198.805      NA             NA              NA        1.4822e-35
  39  -11409.2960791400       Eh       213.199      NA             NA              NA        4.4573e-38
  40  -11409.2810577400       Eh       252.638      NA             NA              NA        5.4918e-45
  41  -11409.2789193200       Eh       258.253      NA             NA              NA        5.7031e-46
  42  -11409.2771953400       Eh       262.779      NA             NA              NA        9.1862e-47
  43  -11409.2765569600       Eh       264.455      NA             NA              NA        4.6720e-47
  44  -11409.2718434100       Eh       276.830      NA             NA              NA        3.1726e-49
  45  -11409.2717850600       Eh       276.984      NA             NA              NA        2.9825e-49
  46  -11409.2709571300       Eh       279.157      NA             NA              NA        1.2410e-49
  47  -11409.2707148600       Eh       279.793      NA             NA              NA        9.6011e-50
  48  -11409.2589107200       Eh       310.785      NA             NA              NA        3.5711e-55

# Boltzmann-weighted average binding energy (over conformers with pop >= 1.00e-06): -153.310 kJ/mol
# Effective sum of populations used: 1.000000
# E_bind = Etot(comment) - (Eprot + Esub), all at frozen complex geometries.
