# Binding energy analysis (xtb/gxtb) with population filtering
# Input XYZ : crest_conformers_gfn2.xyz
# Engine    : gfn2
# n_conf    : 9
# n_sub     : 218
# sub_sel   : 682:
# q_sub     : -7
# q_prot    : 3
# q_tot     : -4
# Temperature (K): 298.15
# Etot_unit from comments: Eh
# Population threshold (fraction): 1.00e-06
# Energies in Eh and kJ/mol; populations from Etot(comment)
# Conformers with pop < threshold are skipped for Eprot/Esub/Ebind.
#
 idx  Etot_raw        Etot_unit  Etot_rel(kJ/mol)  Eprot(Eh)          Esub(Eh)           Ebind(kJ/mol)   Pop
------------------------------------------------------------------------------------------------------------
   1  -1378.8444707184       Eh         0.000  -970.7439466143  -407.9479861848      -400.488   9.9993e-01
   2  -1378.8354620168       Eh        23.652  -970.7507643029  -407.9419353604      -374.823   7.1822e-05
   3  -1378.8266079280       Eh        46.899      NA             NA              NA        6.0766e-09
   4  -1378.8160107612       Eh        74.722      NA             NA              NA        8.1154e-14
   5  -1378.7688640838       Eh       198.505      NA             NA              NA        1.6725e-35
   6  -1378.7573849540       Eh       228.644      NA             NA              NA        8.7768e-41
   7  -1378.7543152536       Eh       236.703      NA             NA              NA        3.3992e-42
   8  -1378.7541941466       Eh       237.021      NA             NA              NA        2.9900e-42
   9  -1378.7111497512       Eh       350.034      NA             NA              NA        4.7494e-62

# Boltzmann-weighted average binding energy (over conformers with pop >= 1.00e-06): -400.486 kJ/mol
# Effective sum of populations used: 1.000000
# E_bind = Etot(comment) - (Eprot + Esub), all at frozen complex geometries.
