filename,RMSD_to_ref,cluster
42GmAT_dsDNA_model_0.cif,0.0,1
42GmAT_dsDNA_model_1.cif,1.8580271,2
42GmAT_dsDNA_model_10.cif,1.8045636,2
42GmAT_dsDNA_model_11.cif,1.913174,2
42GmAT_dsDNA_model_12.cif,1.8579491,2
42GmAT_dsDNA_model_13.cif,1.6680975,2
42GmAT_dsDNA_model_14.cif,1.8402845,2
42GmAT_dsDNA_model_15.cif,1.9188368,2
42GmAT_dsDNA_model_16.cif,1.8472925,2
42GmAT_dsDNA_model_17.cif,1.7841799,2
42GmAT_dsDNA_model_18.cif,1.9784017,2
42GmAT_dsDNA_model_19.cif,2.1860535,2
42GmAT_dsDNA_model_2.cif,1.9285811,2
42GmAT_dsDNA_model_20.cif,1.7379515,2
42GmAT_dsDNA_model_21.cif,1.4649262,2
42GmAT_dsDNA_model_22.cif,1.9347575,2
42GmAT_dsDNA_model_23.cif,1.7061542,2
42GmAT_dsDNA_model_24.cif,1.6696081,2
42GmAT_dsDNA_model_25.cif,1.9197632,2
42GmAT_dsDNA_model_26.cif,1.9277874,2
42GmAT_dsDNA_model_27.cif,1.8049618,2
42GmAT_dsDNA_model_28.cif,3.092851,0
42GmAT_dsDNA_model_29.cif,3.051688,0
42GmAT_dsDNA_model_3.cif,1.8854895,2
42GmAT_dsDNA_model_4.cif,2.1797705,2
42GmAT_dsDNA_model_5.cif,1.9551626,2
42GmAT_dsDNA_model_6.cif,1.704261,2
42GmAT_dsDNA_model_7.cif,1.97421,2
42GmAT_dsDNA_model_8.cif,1.865146,2
42GmAT_dsDNA_model_9.cif,0.59956306,1
