num_models,ari,nmi,centroid_shift
1,,,
2,,,
3,0.0,0.7336804366512112,0.5225815176963806
4,0.3333333333333333,0.7020168761809934,0.495288610458374
5,0.4444444444444444,0.6898900529340528,0.49232709407806396
6,0.5,0.6836398690443692,0.5679364204406738
7,0.5333333333333333,0.6798853017484195,0.5691459774971008
8,0.5555555555555556,0.67740531582807,0.5655884146690369
9,0.5714285714285714,0.6756573548385494,0.5664541125297546
10,0.5833333333333334,0.6743656714955092,0.5697330832481384
11,0.29357798165137616,0.5231585327732017,0.5301151871681213
12,0.6,0.6725962668139215,0.3990670144557953
13,0.6060606060606061,0.6719673691493153,0.396597295999527
14,0.6111111111111112,0.6714505352038417,0.3998344838619232
15,0.31911966987620355,0.502523011981934,0.5683667063713074
16,0.323943661971831,0.4991758635636917,0.5674449801445007
17,0.2608695652173913,0.45811351429171193,0.5605703592300415
18,0.1907356948228883,0.4117043240351636,0.5477500557899475
19,0.19148936170212766,0.4061306942114347,0.5476251244544983
20,0.19254658385093168,0.4012424921237111,0.5473136305809021
21,0.22604422604422605,0.4168872154642645,0.5602266788482666
22,1.0,0.9999999999999999,0.1136932373046875
23,1.0,0.9999999999999999,0.10683274269104004
24,1.0,1.0,0.1060720682144165
25,1.0,1.0,0.10092175006866455
26,1.0,1.0000000000000002,0.10037990659475327
27,1.0,1.0,0.10163255780935287
28,1.0,1.0,0.10001865774393082
29,1.0,0.9999999999999999,0.09992718696594238
30,1.0,1.0000000000000002,0.0
