filename,RMSD_to_ref,cluster
42GmAT_dsDNA_model_0.cif,0.0,2
42GmAT_dsDNA_model_1.cif,1.0149834,0
42GmAT_dsDNA_model_10.cif,1.4119319,0
42GmAT_dsDNA_model_11.cif,1.455882,0
42GmAT_dsDNA_model_12.cif,1.0241936,0
42GmAT_dsDNA_model_13.cif,1.6555231,0
42GmAT_dsDNA_model_14.cif,1.3613305,0
42GmAT_dsDNA_model_15.cif,0.31371912,2
42GmAT_dsDNA_model_16.cif,0.29856855,2
42GmAT_dsDNA_model_17.cif,0.42547557,2
42GmAT_dsDNA_model_18.cif,0.4607898,2
42GmAT_dsDNA_model_19.cif,1.1502744,0
42GmAT_dsDNA_model_2.cif,0.26979136,2
42GmAT_dsDNA_model_20.cif,1.7238756,0
42GmAT_dsDNA_model_21.cif,0.4213487,2
42GmAT_dsDNA_model_22.cif,1.8762273,0
42GmAT_dsDNA_model_23.cif,1.6038584,0
42GmAT_dsDNA_model_24.cif,2.5318522,1
42GmAT_dsDNA_model_25.cif,2.8173125,1
42GmAT_dsDNA_model_26.cif,2.934442,1
42GmAT_dsDNA_model_27.cif,2.4602802,1
42GmAT_dsDNA_model_28.cif,4.1644926,1
42GmAT_dsDNA_model_29.cif,3.0269213,1
42GmAT_dsDNA_model_3.cif,1.7482493,0
42GmAT_dsDNA_model_4.cif,1.1234084,0
42GmAT_dsDNA_model_5.cif,0.27534533,2
42GmAT_dsDNA_model_6.cif,1.9382209,0
42GmAT_dsDNA_model_7.cif,1.234663,0
42GmAT_dsDNA_model_8.cif,1.555143,0
42GmAT_dsDNA_model_9.cif,1.8364848,0
