num_models,ari,nmi,centroid_shift
1,,,
2,,,
3,0.0,0.7336804366512112,0.7841906547546387
4,0.3333333333333333,0.7020168761809934,0.7768656611442566
5,0.2857142857142857,0.6434709124204981,0.7753306031227112
6,0.3076923076923077,0.6163773591245547,0.7507066130638123
7,0.3333333333333333,0.6005439318490571,0.7629106640815735
8,0.46153846153846156,0.7020168761809933,0.7106241583824158
9,0.5555555555555556,0.7499999999999998,0.6948786377906799
10,0.6341463414634146,0.778979417334536,0.6764304041862488
11,0.6986301369863014,0.7987549665579845,0.6630070805549622
12,0.6267672007540056,0.7732385636237635,0.6484864354133606
13,0.6829268292682927,0.789644974147576,0.6501486301422119
14,0.6632124352331606,0.7832178067898357,0.6333013772964478
15,0.7074122236671001,0.7966001471663925,0.6303938627243042
16,0.6946564885496184,0.7928814003464328,0.610698401927948
17,0.6880733944954128,0.7903939842550577,0.6096001267433167
18,0.6127982646420824,0.7361272127817563,0.45378029346466064
19,1.0,0.9999999999999999,0.12455006688833237
20,1.0,1.0,0.09567677974700928
21,1.0,1.0,0.12075366824865341
22,1.0,1.0,0.02218552492558956
23,1.0,1.0,0.019671956077218056
24,1.0,1.0,0.009961645118892193
25,1.0,1.0,0.01922639273107052
26,1.0,0.9999999999999998,0.017665227875113487
27,1.0,1.0,0.004612048622220755
28,1.0,0.9999999999999998,0.010174949653446674
29,1.0,1.0,0.007874329574406147
30,1.0,1.0,0.0
