filename,RMSD_to_ref,cluster
42GmAT_ssDNA_model_0.cif,0.0,2
42GmAT_ssDNA_model_1.cif,0.26652232,0
42GmAT_ssDNA_model_10.cif,0.37483,3
42GmAT_ssDNA_model_11.cif,0.23045234,0
42GmAT_ssDNA_model_12.cif,0.2814813,0
42GmAT_ssDNA_model_13.cif,0.24005105,0
42GmAT_ssDNA_model_14.cif,0.18965942,1
42GmAT_ssDNA_model_15.cif,0.29371396,0
42GmAT_ssDNA_model_16.cif,0.21796699,0
42GmAT_ssDNA_model_17.cif,0.16174296,1
42GmAT_ssDNA_model_18.cif,0.37642977,3
42GmAT_ssDNA_model_19.cif,0.27432224,0
42GmAT_ssDNA_model_2.cif,0.3191367,3
42GmAT_ssDNA_model_20.cif,0.13815662,1
42GmAT_ssDNA_model_21.cif,0.28863087,0
42GmAT_ssDNA_model_22.cif,0.2822259,0
42GmAT_ssDNA_model_23.cif,0.26926064,0
42GmAT_ssDNA_model_24.cif,0.3693439,3
42GmAT_ssDNA_model_25.cif,0.3390686,3
42GmAT_ssDNA_model_26.cif,0.38587362,3
42GmAT_ssDNA_model_27.cif,0.35394526,3
42GmAT_ssDNA_model_28.cif,0.24114819,0
42GmAT_ssDNA_model_29.cif,0.3116393,3
42GmAT_ssDNA_model_3.cif,0.3227351,3
42GmAT_ssDNA_model_4.cif,0.33229983,3
42GmAT_ssDNA_model_5.cif,0.3465376,3
42GmAT_ssDNA_model_6.cif,0.22134088,0
42GmAT_ssDNA_model_7.cif,0.25377,0
42GmAT_ssDNA_model_8.cif,0.2325375,0
42GmAT_ssDNA_model_9.cif,0.14057843,1
