num_models,ari,nmi,centroid_shift
1,,,
2,,,
3,,,
4,0.0,0.8571428571428571,0.027312021702528
5,0.4117647058823529,0.8326760405064335,0.029181893914937973
6,0.375,0.7896900821428477,0.030381731688976288
7,0.2222222222222222,0.7248303282742282,0.026582375168800354
8,0.3170731707317073,0.7169094121288535,0.02822505682706833
9,0.2727272727272727,0.6789221190158274,0.02809460088610649
10,0.6456692913385826,0.7956341629314292,0.016126852482557297
11,0.45364238410596025,0.7536182226542117,0.0208677276968956
12,0.5026910656620022,0.7537434372800351,0.0210617333650589
13,0.2624113475177305,0.5936848475882118,0.02702079713344574
14,1.0,1.0,0.0038039349019527435
15,1.0,1.0,0.004767801612615585
16,0.7928436911487758,0.8538804704888855,0.010199680924415588
17,0.8072289156626506,0.8556222553570932,0.010188177227973938
18,0.5176268271711092,0.6650006228400371,0.01951410621404648
19,1.0,1.0,0.005213577300310135
20,0.6887992944437444,0.7517412622265884,0.01450345665216446
21,1.0,1.0,0.0062241218984127045
22,1.0,1.0,0.005694244056940079
23,1.0,1.0,0.004189100116491318
24,1.0,1.0,0.003326643258333206
25,1.0,1.0,0.0028758011758327484
26,1.0,1.0,0.0028305165469646454
27,1.0,1.0,0.0019763000309467316
28,1.0,1.0,0.0018771402537822723
29,1.0,1.0,0.0014129914343357086
30,1.0,1.0,0.0
