num_models,ari,nmi,centroid_shift
1,,,
2,,,
3,,,
4,0.0,0.5771596324111234,0.08970600366592407
5,0.4117647058823529,0.8326760405064335,0.06056957691907883
6,0.5945945945945946,0.8640546073105768,0.06761239469051361
7,0.2222222222222222,0.6412643202948477,0.04505225270986557
8,0.2582781456953642,0.6410081452354494,0.04370300471782684
9,1.0,1.0,0.004611540585756302
10,1.0,1.0,0.006826598197221756
11,1.0,1.0,0.007896412163972855
12,0.3408239700374532,0.6486518985545203,0.032117750495672226
13,1.0,1.0,0.007171221077442169
14,1.0,1.0,0.007414821535348892
15,0.3036816830551109,0.5993934780778294,0.03463442996144295
16,0.36082474226804123,0.6116511306936431,0.03476407378911972
17,0.42788461538461536,0.6272646955187705,0.027066826820373535
18,1.0,0.9999999999999998,0.005959741771221161
19,1.0,1.0,0.005541712045669556
20,1.0,1.0,0.005871094763278961
21,1.0,1.0,0.0034719333052635193
22,1.0,0.9999999999999998,0.0031149424612522125
23,1.0,1.0,0.0026407018303871155
24,1.0,1.0,0.0032047107815742493
25,1.0,1.0,0.0024577155709266663
26,1.0,1.0,0.003107406198978424
27,1.0,1.0,0.002185225486755371
28,1.0,1.0,0.0011353865265846252
29,1.0,1.0,0.0010327547788619995
30,1.0,1.0,0.0
