filename,RMSD_to_ref,cluster
05PaAT_chimera_ssDNA_model_0.cif,0.0,2
05PaAT_chimera_ssDNA_model_1.cif,0.28147718,0
05PaAT_chimera_ssDNA_model_10.cif,0.28996,0
05PaAT_chimera_ssDNA_model_11.cif,0.30038753,0
05PaAT_chimera_ssDNA_model_12.cif,0.46718407,1
05PaAT_chimera_ssDNA_model_13.cif,0.39427757,0
05PaAT_chimera_ssDNA_model_14.cif,0.37646455,0
05PaAT_chimera_ssDNA_model_15.cif,0.5427568,1
05PaAT_chimera_ssDNA_model_16.cif,0.45498148,1
05PaAT_chimera_ssDNA_model_17.cif,0.37427998,0
05PaAT_chimera_ssDNA_model_18.cif,0.36844566,0
05PaAT_chimera_ssDNA_model_19.cif,0.39043865,0
05PaAT_chimera_ssDNA_model_2.cif,0.5886944,1
05PaAT_chimera_ssDNA_model_20.cif,0.33561036,0
05PaAT_chimera_ssDNA_model_21.cif,0.52996475,1
05PaAT_chimera_ssDNA_model_22.cif,0.6247877,1
05PaAT_chimera_ssDNA_model_23.cif,0.59607863,1
05PaAT_chimera_ssDNA_model_24.cif,0.37625837,0
05PaAT_chimera_ssDNA_model_25.cif,0.34467632,0
05PaAT_chimera_ssDNA_model_26.cif,0.35767475,0
05PaAT_chimera_ssDNA_model_27.cif,0.5128562,1
05PaAT_chimera_ssDNA_model_28.cif,0.5844561,1
05PaAT_chimera_ssDNA_model_29.cif,0.50437576,1
05PaAT_chimera_ssDNA_model_3.cif,0.3555724,0
05PaAT_chimera_ssDNA_model_4.cif,0.3817828,0
05PaAT_chimera_ssDNA_model_5.cif,0.3798849,0
05PaAT_chimera_ssDNA_model_6.cif,0.4917435,1
05PaAT_chimera_ssDNA_model_7.cif,0.36639142,0
05PaAT_chimera_ssDNA_model_8.cif,0.35617292,0
05PaAT_chimera_ssDNA_model_9.cif,0.48857152,1
