num_models,ari,nmi,centroid_shift
1,,,
2,,,
3,0.0,0.7336804366512112,0.10515286773443222
4,0.3333333333333333,0.7020168761809934,0.10026321560144424
5,1.0,1.0,0.043034493923187256
6,0.4117647058823529,0.6775148272677979,0.055185575038194656
7,0.2222222222222222,0.5815097140548869,0.06121516227722168
8,1.0,1.0,0.017803996801376343
9,1.0,1.0,0.02335832454264164
10,1.0,1.0,0.020815730094909668
11,1.0,1.0,0.019277423620224
12,1.0,1.0,0.01720731519162655
13,1.0,1.0,0.008841733448207378
14,1.0,1.0,0.009262323379516602
15,1.0,1.0,0.008158286102116108
16,1.0,1.0,0.0038369297981262207
17,1.0,1.0,0.006758391857147217
18,1.0,1.0,0.005739937070757151
19,1.0,1.0,0.005863686557859182
20,1.0,1.0,0.005605737213045359
21,1.0,1.0,0.004329224582761526
22,1.0,1.0,0.00598822021856904
23,1.0,1.0,0.004646082874387503
24,1.0,1.0,0.0044817328453063965
25,1.0,1.0,0.003716796636581421
26,1.0,1.0,0.003096034051850438
27,1.0,1.0,0.001615116954781115
28,1.0,1.0,0.0013530552387237549
29,1.0,1.0,0.0013221899280324578
30,1.0,1.0,0.0
