num_models,ari,nmi,centroid_shift
1,,,
2,1.0,1.0,0.06368136405944824
3,1.0,1.0,0.010220199823379517
4,1.0,1.0,0.015003889799118042
5,1.0,1.0,0.016704142093658447
6,1.0,1.0,0.010181546211242676
7,1.0,1.0,0.002852410078048706
8,1.0,1.0,0.004060655832290649
9,1.0,1.0,0.000754624605178833
10,1.0,1.0,0.0007186532020568848
11,1.0,1.0,0.006373018026351929
12,1.0,1.0,0.0011601448059082031
13,1.0,1.0,0.004318207502365112
14,1.0,1.0,0.009105712175369263
15,1.0,1.0,0.01172107458114624
16,1.0,1.0,0.009392797946929932
17,1.0,1.0,0.005981355905532837
18,1.0,1.0,0.005572706460952759
19,1.0,1.0,0.002004563808441162
20,1.0,1.0,0.002208024263381958
21,1.0,1.0,0.003490746021270752
22,1.0,1.0,0.004391282796859741
23,1.0,1.0,0.0045070648193359375
24,1.0,1.0,0.0018796920776367188
25,1.0,1.0,0.0029375553131103516
26,1.0,1.0,0.0022645890712738037
27,1.0,1.0,0.0026769638061523438
28,1.0,1.0,0.0011584758758544922
29,1.0,1.0,0.0028238892555236816
30,1.0,1.0,0.0
